problem,domain,solver,solved,plan_length,plan_cost,expanded,reopened,evaluated,evaluations,generated,dead_ends,search_time,total_time
p16.pddl,elevators-sat08-strips,1,1,83,337,860,0,861,1722,29381,0,0.03933,0.06108
p17.pddl,elevators-sat08-strips,1,1,105,583,1383,0,1384,2768,44145,0,0.066865,0.090512
p18.pddl,elevators-sat08-strips,1,1,118,497,1304,0,1305,2610,45310,0,0.066873,0.096314
p19.pddl,elevators-sat08-strips,1,1,136,564,1956,0,1957,3914,69190,0,0.114089,0.144837
p20.pddl,elevators-sat08-strips,1,1,110,569,1304,0,1305,2610,43518,0,0.082638,0.115725
p21.pddl,elevators-sat08-strips,1,1,82,312,823,0,824,1648,34403,0,0.043273,0.072691
p22.pddl,elevators-sat08-strips,1,1,96,411,1629,0,1630,3260,74501,0,0.114089,0.15118
p23.pddl,elevators-sat08-strips,1,1,107,502,1450,0,1451,2902,65554,0,0.114082,0.161327
p24.pddl,elevators-sat08-strips,1,1,146,985,3685,0,3686,7372,167358,0,0.322596,0.383246
p25.pddl,elevators-sat08-strips,1,1,173,1048,4000,0,4001,8002,189332,0,0.405209,0.476047
p26.pddl,elevators-sat08-strips,1,1,149,893,2818,0,2819,5638,133634,0,0.322572,0.404972
p27.pddl,elevators-sat08-strips,1,1,186,952,4054,0,4055,8110,195306,0,0.511442,0.612302
p28.pddl,elevators-sat08-strips,1,1,188,869,4804,0,4805,9610,246143,0,0.649124,0.76598
p29.pddl,elevators-sat08-strips,1,1,203,1121,6434,0,6435,12870,327927,0,0.967801,1.101587
p30.pddl,elevators-sat08-strips,1,1,207,1053,3990,0,3991,7982,201988,0,0.64124,0.785615
p01.pddl,elevators-sat11-strips,1,1,80,346,658,0,659,1318,20264,0,0.02754,0.043333
p02.pddl,elevators-sat11-strips,1,1,146,985,3685,0,3686,7372,167358,0,0.326835,0.388615
p03.pddl,elevators-sat11-strips,1,1,149,893,2818,0,2819,5638,133634,0,0.322906,0.403718
p04.pddl,elevators-sat11-strips,1,1,110,569,1304,0,1305,2610,43518,0,0.078758,0.113014
p05.pddl,elevators-sat11-strips,1,1,118,497,1304,0,1305,2610,45310,0,0.070878,0.100056
p06.pddl,elevators-sat11-strips,1,1,186,952,4054,0,4055,8110,195306,0,0.511922,0.616077
p07.pddl,elevators-sat11-strips,1,1,173,1048,4000,0,4001,8002,189332,0,0.401661,0.47543
p08.pddl,elevators-sat11-strips,1,1,188,869,4804,0,4805,9610,246143,0,0.657622,0.775269
p09.pddl,elevators-sat11-strips,1,1,203,1121,6434,0,6435,12870,327927,0,0.958586,1.092513
p10.pddl,elevators-sat11-strips,1,1,207,1053,3990,0,3991,7982,201988,0,0.659832,0.805203
p11.pddl,elevators-sat11-strips,1,1,254,1366,12947,0,12948,25896,1028912,0,3.77421,4.02498
p12.pddl,elevators-sat11-strips,1,1,253,1014,9094,0,9095,18190,751867,0,2.855682,3.13462
p13.pddl,elevators-sat11-strips,1,1,301,1522,13543,0,13544,27088,1092111,0,4.490566,4.81263
p14.pddl,elevators-sat11-strips,1,1,285,1288,13827,0,13828,27656,1078320,0,4.711728,5.057922
p15.pddl,elevators-sat11-strips,1,1,288,1227,15189,0,15190,30380,1298092,0,5.620806,6.000525
p16.pddl,elevators-sat11-strips,1,1,261,1398,12572,0,12573,25146,1101700,0,4.295214,4.63706
p17.pddl,elevators-sat11-strips,1,1,296,1441,21601,0,21602,43204,1944783,0,8.381923,8.822444
p18.pddl,elevators-sat11-strips,1,1,313,1749,16470,0,16471,32942,1644084,0,7.064074,7.661953
p19.pddl,elevators-sat11-strips,1,1,380,2507,75420,0,75421,150842,7748846,0,35.937088,36.556871
p20.pddl,elevators-sat11-strips,1,1,361,1755,19631,0,19632,39264,1936741,0,9.966926,10.666634
seq-p01-001.pddl,floortile-sat11-strips,1,1,44,118,431171,0,974712,1405884,3156902,543540,3.992457,3.992457
