Domain,Problem,Planner,solved,cost,length,expanded,time
floortile-sat14-strips,p02-5-4-2,solver_1,False,,,,
floortile-sat14-strips,p05-6-5-2,solver_1,False,,,,
floortile-sat14-strips,p03-6-5-2,solver_1,False,,,,
floortile-sat14-strips,p01-5-4-2,solver_1,False,,,,
recharging-robots-sat23-strips,p06,solver_1,True,10.0,13.0,9613.0,0.315741
recharging-robots-sat23-strips,p14,solver_1,True,8.0,11.0,233.0,1.889891
recharging-robots-sat23-strips,p13,solver_1,False,,,,
recharging-robots-sat23-strips,p17,solver_1,True,10.0,16.0,312.0,8.91082
recharging-robots-sat23-strips,p01,solver_1,True,16.0,16.0,96724.0,23.013987
recharging-robots-sat23-strips,p09,solver_1,True,7.0,11.0,21.0,0.312351
recharging-robots-sat23-strips,p08,solver_1,True,19.0,28.0,105654.0,18.267111
recharging-robots-sat23-strips,p05,solver_1,False,,,,
recharging-robots-sat23-strips,p04,solver_1,True,21.0,21.0,28.0,2.768555
recharging-robots-sat23-strips,p03,solver_1,True,24.0,24.0,13536.0,19.779876
recharging-robots-sat23-strips,p07,solver_1,True,29.0,35.0,578703.0,163.059717
recharging-robots-sat23-strips,p16,solver_1,False,,,,
recharging-robots-sat23-strips,p19,solver_1,False,,,,
recharging-robots-sat23-strips,p18,solver_1,False,,,,
recharging-robots-sat23-strips,p02,solver_1,True,20.0,20.0,326004.0,222.03279
recharging-robots-sat23-strips,p10,solver_1,False,,,,
recharging-robots-sat23-strips,p12,solver_1,True,16.0,24.0,54947.0,17.78693
recharging-robots-sat23-strips,p15,solver_1,True,16.0,21.0,4708.0,19.605548
recharging-robots-sat23-strips,p11,solver_1,False,,,,
data-network-sat18-strips,p06,solver_1,False,,,,
data-network-sat18-strips,p14,solver_1,True,1011.0,61.0,577.0,0.093965
data-network-sat18-strips,p13,solver_1,True,2971.0,135.0,133793.0,9.549853
data-network-sat18-strips,p17,solver_1,False,,,,
data-network-sat18-strips,p01,solver_1,True,732.0,82.0,10188.0,0.486492
data-network-sat18-strips,p20,solver_1,False,,,,
data-network-sat18-strips,p09,solver_1,True,2406.0,319.0,811573.0,84.599432
data-network-sat18-strips,p08,solver_1,True,2260.0,352.0,1217580.0,148.207145
data-network-sat18-strips,p05,solver_1,True,1399.0,175.0,9101.0,0.925539
data-network-sat18-strips,p04,solver_1,True,1224.0,174.0,3298.0,0.246166
data-network-sat18-strips,p03,solver_1,True,592.0,85.0,978.0,0.077538
data-network-sat18-strips,p07,solver_1,False,,,,
data-network-sat18-strips,p16,solver_1,True,2078.0,140.0,1593604.0,229.802158
data-network-sat18-strips,p19,solver_1,False,,,,
data-network-sat18-strips,p18,solver_1,False,,,,
data-network-sat18-strips,p02,solver_1,True,465.0,55.0,698.0,0.059753
data-network-sat18-strips,p10,solver_1,False,,,,
data-network-sat18-strips,p12,solver_1,True,770.0,31.0,7688.0,0.462309
data-network-sat18-strips,p15,solver_1,True,2675.0,138.0,85576.0,10.01685
data-network-sat18-strips,p11,solver_1,True,666.0,29.0,2143.0,0.09904
settlers-sat18-strips,p06,solver_1,True,1340.0,175.0,5222.0,1.014704
settlers-sat18-strips,p14,solver_1,True,1695.0,214.0,16444.0,4.856171
